Id,CleanedReviewText,RecommendedOrNot,ReviewLength,PlayHours,DatePosted
29,great play mouse keyboard awesome sound design,Recommended,54,53.3,14-11-2024
30,without doubt goty run smooth amazing music amaze story amazing gameplay worth every centone best secret bos final battle ever experience genuine 10/10,Recommended,160,57.1,14-11-2024
31,goty,Recommended,5,9.1,14-11-2024
32,monke,Recommended,5,14.5,14-11-2024
33,omega goog game,Recommended,13,55.4,14-11-2024
34,good,Recommended,8,33.9,14-11-2024
35,monke,Recommended,5,3.3,14-11-2024
36,great game,Recommended,10,17.9,14-11-2024
37,work art,Recommended,14,38.9,14-11-2024
38,top10 time probably even top5its challenge point start lose hairperfect example love play game,Recommended,126,50.1,14-11-2024
39,trash game dodge dodge dodge dodge dodge dodge dodge dodge hit dodge dodge dodge dodge hit trash fighting experience recommend buy trash game cant enjoy story repeat fight least 78 time least,Not Recommended,205,7.9,14-11-2024
40,incredible graphic sound design voice act story tell although play time full playthrough take 4050 hour depend skill level whether youre go true end buy game money well spentthe 6 environment 6 chapter stun visually different multiple level whole secret area may stumble upon first playthrough open world know sound design incredible every piece suit fight effect sound weapon etc satisfy combat flow well wide array skill weapon effect choose transformation require lot skill others camera get bit jittery face large boss lockedon problem soulslikes faceit forgiving soulslikes pronounced mid late game respec build depending bos encounter however still fight challenge also graphically stun could argue true end route hardest bos ingame flaw certain bos encounter start middle phase manage beat previous one reduce continuity fight make much approachable casual player fight phase 1 etc againthe animation piece chapter cherry top game range animation stop motion really get sense lot love pour game take nearly decade develop would highly recommend pick game deluxe edition support creator give curios/armour set/weapon give quickly outscaled,Recommended,1536,54.3,14-11-2024
41,good,Recommended,6,15.2,14-11-2024
42,game fun,Recommended,12,57.7,14-11-2024
43,want rage get game asap,Recommended,34,40.7,14-11-2024
44,goat,Recommended,8,251.6,13-11-2024
45,good,Recommended,4,29.0,13-11-2024
46,goty 2024,Recommended,8,57.1,13-11-2024
47,9 /10,Recommended,4,59.5,13-11-2024
48,monkey,Recommended,8,49.6,13-11-2024
49,graphic forget reality beautiful stylistic good decent bad might go blindgameplay good good gameplay mehh even closesoundtrack eargasm good good bad bad im deafdifficulty press w easy easy learn / hard master average depends difficulty set difficult dark soulsgrind nothing grind u care leaderboards/ranks/achievements isnt necessary progress average grind level much grind youll need substance make second version grindingstory story like play candy crush story alright well writtenepic story itll replace lifegameplay time short 0 5 hshort 5 15 haverage 15 25 h long 25 60 h long 60 h infinity beyondworth free underpriced worth price sale could cheaper overprice could also burn moneybugs never hear ofminor bug get annoying ark survival evolve game big terrarium bugstarget audiencekidsteens adultsrequirements check run microsoft office low medium high end nasa computerfinal score 12345678910,Recommended,1091,34.0,13-11-2024
50,m/,Recommended,3,69.2,13-11-2024
51,good game hard,Recommended,19,3.0,13-11-2024
52,one best game ever play,Recommended,33,76.2,13-11-2024
53,great game,Recommended,9,5.0,13-11-2024
54,best game play 2024 10/10,Recommended,30,67.6,13-11-2024
55,awesome,Recommended,7,62.8,13-11-2024
56,say video game feature stun visuals fantastic gameplay captivate storytelling plot keep toe however one drawback game experience occasional stuttering unexpected drop frame rate,Recommended,217,19.3,13-11-2024
57,con never play soul like really dont know navigate character without map many many many time get lose skip important scene dont know gopros best wukong game ever grow watch journey west play game remind old time story 10/10 gameplay 10/10final verdict 9/10,Recommended,318,43.5,13-11-2024
58,annoy take soulslike genre main technique boss random bullet time get old first 30 minute gamethe invisible wall break freedom movement make game feel narrowweapons armor next zero variationgraphics beautiful regard optimization,Not Recommended,296,37.6,13-11-2024
59,beat game didnt hear argument get good game isnt bad however isnt good described enemy feel unbalanced tentacle man example real way deal ranged enemy except rush lack weapon diversity number polearms could add also want see option armor ability find story far short liking lastly last bos fight lack better term b felt like troll enjoy part overall great story gameplay felt incomplete lackingstory 8/10combat 5/10level design 5/10value 4/10,Not Recommended,565,60.8,13-11-2024
60,game require use dl cant even run game native resolution fps tank 3080 ti industry joke believe game get many positive review state game game require dl run,Not Recommended,205,0.8,13-11-2024
61,una obra maestra la historia te atrapa el gameplay jamas aburre lo mejor esta diseñado para rejugar una otra vez para mi e perfecto,Recommended,118,66.2,13-11-2024
62,monkay noise,Recommended,12,40.4,13-11-2024
63,forgive father stone,Recommended,26,145.3,13-11-2024
64,story gameplay music graphic awesome didint expect see good game day anymore love truly masterpiece,Recommended,118,0.6,13-11-2024
65,doubt go full monke boss original fun go across genre play usually type game think good game,Recommended,141,10.2,13-11-2024
66,目前玩了四周目的还开了其他的存档美术画面顶级极致的视觉体验前几章的剧情满分个人认为火焰山的剧情一般可能是赶工影身图小故事也很好每章结尾的动画艺术成分很高音乐也是顶级最后的云宫迅音很震撼可以让人听哭战斗系统绝对是顶级的三种棍法配合精魄法宝法术变身可以有很多种套路玩法唯一的缺点是没有地图空气墙设计的不够统一我给99分接近满分的神作,Recommended,185,140.5,13-11-2024
67,goty like right nyow,Recommended,25,5.7,13-11-2024
68,game entertain annoy time play story time neither know care hell go background still amazing gameplay unique bos fight keep engage far manage reach third chapter beat three boss though game give good time annoy hell well,Recommended,327,55.7,13-11-2024
69,120hrs well spent go back monke ᧖ ᦢ ᦣ,Recommended,1849,121.6,13-11-2024
70,incredible start finish setting style music many encounter bosslike absolutely love game wukong definitely game year runningonly negative invisible wall suck feel like able explore certain area wall say otherwise,Recommended,276,82.3,13-11-2024
71,john cena,Recommended,8,35.4,13-11-2024
72,game year,Recommended,13,43.3,13-11-2024
73,monke,Recommended,5,12.2,13-11-2024
74,game decade tbhcamera suck though,Recommended,37,45.7,13-11-2024
75,game year,Recommended,20,52.5,13-11-2024
76,game year 2024,Recommended,18,79.7,13-11-2024
77,1st time play kind type game soul likeim hardcore gamer play free time work funthe game bit hard casual gamer like certain level im able copeoverall like graphic great game structure nice enjoy gamewish game dlc longer story,Recommended,275,51.9,13-11-2024
78,wary game would live expectation yet prove one favourite game time everything perfect gameplay fun story tell amazing way world incredibly beautiful isnt difficult easy youre soul fan want change pace must play book,Recommended,294,44.6,13-11-2024
79,think game okay yeah boss cool stuff game seem repetitive really kind kill hostile kill boss repeat thing yeah graphic good game isnt really cool repetitive,Recommended,225,22.0,13-11-2024
80,game struggle understand make challenging game fun several point game give cool new ability next bos perfect counter take away fun new stuff give right get good design cool ability honestly keep play game game cool ability look great every encounter game feel janky final bos perfect example design several boss dont work every single ability attack spend 40 hour collect get counter randomly bos entire encounter feel like several rng check row random chance counter heavy attack imobilize heal duplicate light attack think he counter enough dont worry freeze time get garenteed hit way avoid dont think single bos fight leave feel satisfy accomplishment give 4/10,Not Recommended,870,44.7,13-11-2024
81,pretty,Recommended,11,31.4,13-11-2024
82,cod,Recommended,3,13.2,13-11-2024
83,gg,Recommended,2,8.8,13-11-2024
84,good,Recommended,4,10.2,13-11-2024
85,exactly type game industry need id recommend anybody handle challenge,Recommended,83,40.7,13-11-2024
86,doubt one best arpg/soul alike game ive play since elden ring,Recommended,62,132.8,13-11-2024
87,goty 2024,Recommended,8,40.5,13-11-2024
88,good game,Recommended,8,58.7,13-11-2024
89,good,Recommended,4,16.1,13-11-2024
90,absolutely gorgeous game game cut scene youll find take sometimes love game far perfect balance challenge reward finally beat bos thats kick past hour play many many fromsoft games/ souls like game far favorite ever play game track add list look forward release dlc content game conclusion playthroughs,Recommended,420,15.2,13-11-2024
91,like god war dark soul one game,Recommended,39,5.3,13-11-2024
92,story great combat fun music graphic fantasticas player one best game playedas chinese player best game ever play,Recommended,153,100.9,13-11-2024
93,good game,Recommended,8,80.5,13-11-2024
94,10/10 game nothing need say,Recommended,33,71.1,13-11-2024
95,great game,Recommended,9,32.8,13-11-2024
96,game cant pas chapter 2 fight cant enjoy story ffs,Not Recommended,61,27.5,13-11-2024
97,monkey,Recommended,6,41.0,13-11-2024
98,masterpiece,Recommended,12,35.1,13-11-2024
99,goated,Recommended,6,6.2,13-11-2024
100,game year graphic awful bad decent nothing special stun visual masterpiece gameplay bad okay nothing special good good try get addicted audio bad bad decent good beautiful masterpiece,Recommended,231,57.4,13-11-2024
101,another masterpiece,Recommended,18,83.9,13-11-2024
102,amaze next gen game,Recommended,19,48.3,13-11-2024
103,77 hour pure fun,Recommended,17,77.9,13-11-2024
104,monke go monke,Recommended,12,51.9,13-11-2024
105,good,Recommended,4,21.3,12-11-2024
106,even though best soulslike ever play good play game tell afterstory childhood favorite tv show,Recommended,119,119.0,12-11-2024
107,لعبة جميلة جدا و مرشح قوي لأفضل لعبة في 2024a good game strong candidate best game 2024,Recommended,87,11.6,12-11-2024
108,nice,Recommended,9,53.1,12-11-2024
109,stun graphic awesome story character challenge yet insanely hard game playthis game 20/10 gtoy materialhighly recommend,Recommended,128,6.0,12-11-2024
110,absolutely love game graphic amaze game play clean story unique fun dont get start amazing artwork boss start little difficult play enough easy understand unlock achievement secret stance let tell play game way investigate everything worth game definitely deserve game year 5 star rating 100 10,Recommended,391,268.9,13-11-2024
111,overwhelmingly positive,Recommended,22,171.1,12-11-2024
112,good haha,Recommended,13,5.0,12-11-2024
113,game change life 100/10,Recommended,27,51.7,12-11-2024
114,game,Recommended,10,148.8,12-11-2024
115,twas fun,Recommended,7,82.0,12-11-2024
116,yes,Recommended,3,53.5,12-11-2024
117,game easy,Not Recommended,17,125.6,12-11-2024
118,monkey,Recommended,6,13.8,12-11-2024
119,w game frl,Recommended,8,57.5,12-11-2024
120,amazing game mix elden ring god war highly recommend,Recommended,62,71.1,12-11-2024
121,game absolutely incredible aesthetic gameplay 11/10,Recommended,61,45.3,12-11-2024
122,amaze,Recommended,7,46.6,12-11-2024
123,superb game want buy game since come,Recommended,51,20.6,12-11-2024
124,must play potentially goty 2024 amazing game play lore everything,Recommended,66,80.3,12-11-2024
125,monke,Recommended,5,102.2,12-11-2024
126,product receive freeafter ton deathsuffer finally end platinum achivements play good damn,Recommended,99,91.8,12-11-2024
127,monkey hit ruyi jingu bang,Recommended,36,21.7,12-11-2024
128,monkey,Recommended,8,97.2,12-11-2024
129,fantastic havent give solo campaign game chance 10 year im pleased convince give one try havent 4 day yet play 34 hour almost work full time girlfriend hat play much wow,Recommended,217,47.9,12-11-2024
130,best game play 5 year easily last one love much dmc 5 game loop addictive keep move forward cheap time system let change attribute build save point find solution fight secret cryptic dont make sense worth true end hidden boss new game easy ill keep building character dlc come year,Recommended,380,67.8,12-11-2024
131,fantastic game even well game experience get past crazy boss def worth playing,Recommended,103,46.8,12-11-2024
132,monkey noise,Recommended,13,11.1,12-11-2024
133,wongkong,Recommended,8,62.1,12-11-2024
134,fun gameplay loop challenge content entertain story cutscenes whats love,Recommended,80,10.9,12-11-2024
135,cool,Recommended,4,15.0,12-11-2024
136,good game issue stutter occur pretty bad cutscenes dont know occur none le,Recommended,98,36.0,12-11-2024
137,nice,Recommended,13,13.6,12-11-2024
138,goty,Recommended,4,85.2,12-11-2024
139,long playtime due leave game open chapter 5most boring combat ever experience terrible level design pretty good look though first game life genuinely wasnt able convince finishnot worf,Not Recommended,193,81.7,12-11-2024
140,product receive freeyou know someone doesnt really enjoy soul game doesnt give feel im play havent much fun awhile scenery amaze story capture im try best monkey mountain im go buy stepdad love story game im sure fall love game much,Recommended,344,14.9,12-11-2024
141,like game year mabe,Recommended,19,10.3,12-11-2024
142,gorgeous,Recommended,8,64.2,12-11-2024
143,steam doesnt depend option although give yes enjoy story thing find time game may like know buy gameplay loop excite first get repetitive quicklyb camera bos fight mind frequently focus away bos end get hit couldnt see attackc game doesnt good job encourage try various stance find stick single playstyle throughout gamed mini/optional/secret boss become way easy midway game would like bit challengelike say love story make want read journey west book ton positive game look gorgeous get 90 frame dlss frame gen 4080 4k cinematic preset rt maxed outb bos battle good reward game generous xp crafting chorec dialogue music absolutely brilliant especially headless singer c2 lot secret uncover always worth take time themthere ton positive sure miss lot review cover think come whether look past gripe cover earlier great buy else would recommend get sale,Recommended,1213,97.6,12-11-2024
144,amazing game breathtaking wonderful masterpiece,Recommended,55,69.1,12-11-2024
145,beautiful game great story great combat,Recommended,42,18.8,12-11-2024
146,die alot game,Recommended,25,14.5,12-11-2024
147,candidate goty,Recommended,15,11.8,12-11-2024
148,,Recommended,1,13.8,12-11-2024
149,monke,Recommended,5,13.9,12-11-2024
150,game masterpiece start fact mobile game company make game good say lot area combat music boss weapon armor story literally dont achievement hunt game good get em let tell worth every second would definitely recommend 10/10 game definitely game year worthy sure,Recommended,372,92.8,12-11-2024
151,im one soulslike fan seek game punish one make exception id wait release year find chinese mythology fascinating aaa game base journey west sound impossibly awesomeonce finally get play get close drop one occasion early chapter spend 3 straight hour bang head one giant rat im glad perseveredthe aesthetic unlike anything ive see videogame beautiful aweinspiring immerse player magical semifictional distinctly chinese settingthe story avoids verbose lore dump though detailed journal entry nice touch instead maintain mystical atmosphere minimalistic character interaction hint player piece together gorgeous animated sequence limited dialogue end chapter still drop delightful jttw fanservice appropriatethe gameplay primarily make numerous bos fight intersperse exploration characterbuilding/rpg element nice nothing write home still frustrate early anyone who kind stuff there definitely something feeling get skilled time go ultimately develop inner peace zenlike confidence whatever challenge game throw would eventually overcomeall id say game everything id hop since saw first trailer 2020 morein way one open eye culture wouldnt experience way theres much ask game,Recommended,1504,84.4,12-11-2024
152,awesome game,Recommended,11,31.3,12-11-2024
153,reject humanity return monkeee,Recommended,34,9.8,12-11-2024
154,amaze graohics storyline fighting gameplay overall definite goty doubt chapter draw timeline world dont want leave hour gameplay,Recommended,169,64.1,12-11-2024
155,good,Recommended,4,36.4,12-11-2024
156,relate mc im indian,Recommended,22,14.9,12-11-2024
157,think good hardish game really enjoy,Recommended,49,170.2,12-11-2024
158,monkey else need know,Recommended,29,12.1,12-11-2024
159,,Recommended,325,115.5,12-11-2024
160,dont know consider recommend game personally im probably gon na get barrage git gud reaction post play game 16 hour honesty say ive never see action game inconsistent balance difficulty across levels/boss fight culminate fight game science something ive never see midboss fight unskippable cutscenese deal damage die cutsceneits egregious wish fight wouldve occur within first 2 hour game id able refund oh well,Not Recommended,509,16.6,12-11-2024
161,ive put 1000 hour soul series never enjoy soulslike game change hooooooly,Recommended,107,46.4,12-11-2024
162,ok may like type gameplay aint bos bos bos fight bos around 5 min last bos,Not Recommended,119,4.3,12-11-2024
163,great game exception chapter 6 sure secret area chapter experience coolest bos fight game,Recommended,121,55.4,12-11-2024
164,game pretty chouette dans cacaouette,Recommended,40,32.8,12-11-2024
165,everything game great love every moment story visuals would recommend game anyone enjoy action rpg soulslikeish game 10/10,Recommended,151,60.2,12-11-2024
166,best rpg game long time awesome combat mechanic pc camera pov weird stuff nuisance nothing crazy,Recommended,109,65.4,12-11-2024
167,peak,Recommended,4,6.6,12-11-2024
168,yeah let start say game take lot mental health get endif wasnt game punish damn much would rate higher dont get wrong fun game design multiple playthroughs every bos fight need learn move expect always die see new bossoverall beautiful game demanding graphic forgive that7/10100 unlocked im crazy like,Recommended,399,98.5,12-11-2024
169,obviously black myth wukong game intend familiar jttw true need familiar enjoy gamezones similar older hacknslash game combat closer soulslike though wouldnt say extremely similar exploration solid best class certainly worst music storytelling best see game probably decade graphic great cutscenes switch normal cutscene visual art style claymation incredibly beautifulthis game undoubtedly game year contender personally give 10/10,Recommended,591,63.0,12-11-2024
170,absolute goat get addict game long time im bored play open world game like gta rdr2 cyberpunk farcry battle royale game like apex legend pubg valorant etc get fresh breathe true action rpg game long time cheer maker make banger first shot,Recommended,283,59.5,12-11-2024
171,goty,Recommended,4,9.8,12-11-2024
172,best dark soluls game ever,Recommended,25,5.7,12-11-2024
173,tldr love challenge want play beautiful game gameplay never get boring till end play whether pay attention storywhich great gameplay worth price exceptional pc game debut studio huge amount respect graphic forget reality beautiful good decent bad dont look long msdos gameplay good good gameplay mehh watch paint dry instead dont audio eargasm good good bad bad im deaf audience kid teens adult grandma pc requirement check run paint potato decent fast rich boi ask nasa spare computer game size floppy disk old fashion workable big eat 10 1tb hard drive want entire hard drive hold need invest black hole hold data difficulty press w easy easy learn / hard master significant brain usage difficult dark soul grind nothing grind u care leaderboards/ranks isnt necessary progress average grind level much grind youll need second life grind story story lore average good lovely itll replace life game time long enough cup coffee short average long infinity beyond price free worth price sale u spare money leave recommend could also burn money bug never hear minor bug get annoying ark survival evolve game big terrarium bug / 10 1 2 3 4 5 6 7 8 9 10 author pros1 amaze graphic easily beautiful game ever seen2 exceptional gameplay3 unique boss make every fight fresh experience4 many way play game power get ability tree huge5 great story va refresh dive lore chinese mythology6 goku sort of7 long game doesnt drag moment feel like waste even lose continuously boss8 nightmare game journalistscons1 enemy hitboxes bad get annoy prepare attack go waste stupid hitbox bosses2 see minor bug graphic like snow sometimes look bit weird frame nothing major,Recommended,2111,89.5,12-11-2024
174,hard start fun,Recommended,24,37.7,12-11-2024
175,sehr gut,Recommended,7,13.9,12-11-2024
176,awsome game,Recommended,10,7.3,12-11-2024
177,好玩,Recommended,2,9.7,12-11-2024
178,good,Not Recommended,7,13.4,11-11-2024
179,one satisfying gaming experience ive ever video game feel like oldschool video game experience game good remind much lose much vacuous noise western developer game journalismit phenomenal enough game year contender various level doubtpersonally felt connect bring intimately closer authentic chinese culture history story ive heard life see many adaptation never give glance nowalso im soulslike player hewlsnah even elden ring passthe budget developer small restraint couldnt get everything come fully finish do perfection matter high praiseimo must,Recommended,706,138.6,12-11-2024
180,good thats,Recommended,19,34.1,11-11-2024
181,enjoyable definitely bad soul game term difficulty first time around definitely kick as,Recommended,110,58.2,11-11-2024
182,yes,Recommended,3,19.0,11-11-2024
183,good,Recommended,4,46.6,11-11-2024
184,one best game year totally recommend like challenge game beautiful place great boss fight,Recommended,109,43.5,11-11-2024
185,bad thing game infuriating gaining 100 dont aspiration fault find,Recommended,120,75.5,11-11-2024
186,fun game,Recommended,11,8.9,11-11-2024
187,game original masterpiece pleasant surprise amidst sea garbage new release post 2020 one game last decade build incredible hype actually deliver say hypeif youre soulslike fan try genre bend bossrush style version soulslike incredible challenge 100 boss nearly unique,Recommended,324,38.8,11-11-2024
188,game teach git gudas fan jttw certainly dont wan na miss black myth wukong youre also action game difficult definitely worth playingnot try bias game blessing way u jttw fan fair ive watch og 1986 journey west 96 tvb version film may greatest adaptation however enjoy show kid wait game since first trailer around 4 year ago disappointtimeline set jttw basically like sequel story seem wellthoughtout masterpiece id say lore backstory may confuse player arent familiar jttw though explain journal theyre long pretty interesting read perfect still due flaw minor lighting bug camera angle certain fight invisible wall area game design alright map indicator may issue anyone memory and/or couldnt travel around place much due time constraint dont go dive game expect like sort chill rpg wise youd greatly disappointed dont get beat small baddie much youll run boss progress story game completion time varies main story complete le 50 hour would definitely go higher youd also objective note quests/objectives highly missable run game visual look absolutely stun animation art impressive soundtrack great especially final bos part combat pretty decent great variety ability choose often time activate ability heal feel like there delay though perhaps thats intend game difficultywise start soulslike kinda style player progress upgrade better stats presumably around chapter 23 eventually feel hack n slash find boss tough beat still nevertheless ive beaten game aside miss quest 110 hour time occasionally stat boost medicine there lot stuff game say quite time consume achievement huntersdespite mention flaw game easily 10/10 would recommend challenge bossrush kinda game,Recommended,2177,118.0,11-11-2024
189,graphic forget reality beautiful good decent bad dont look long msdos gameplay good good gameplay mehh watch paint dry instead dont audio eargasm good good bad bad im deaf audience kid teens adult grandma pc requirement check run paint potato decent fast rich boi ask nasa spare computer game size floppy disk old fashion workable big eat 10 1tb hard drive want entire hard drive hold need invest black hole hold data difficulty press w easy easy learn / hard master significant brain usage difficult dark soul grind nothing grind u care leaderboards/ranks isnt necessary progress average grind level much grind youll need second life grind story story lore average good lovely itll replace life game time long enough cup coffee short average long infinity beyond price free worth price sale u spare money leave recommend could also burn money bug never hear minor bug get annoying ark survival evolve game big terrarium bug / 10 1 2 3 4 5 6 7 8 9 10,Recommended,1215,51.6,11-11-2024
190,5 hour still like game like world set audio phantastic graphic story everything great besides combat especially bossesi play soulslike game since demon souls love nonlinear approach ofc key boss need kill continue story always explore world find stuff equipment level skill weapon armour spell dont manage kill certain bos go another area come back later feel strong enoughwukong none level tubelike nothing explore yes find spell way dont change tactic combat especially boss thing dodge dodge wait small opening chip damage wait stun spell repeat different approach dodge dodge dodge believe search level area make 10 time fight dodge bossfights 90each bos get spongy movesets builtin irregularites make even less predictable dodge overall annoy eg fire bear teleportation second phase fly battlefield hear indication 4 attack last teleport leave teleportation stateand defeat area bos certainly get equipment benefit certain bos kill doesnt make sense alli understand people like would love like cant get warm,Not Recommended,1408,6.0,11-11-2024
191,insanely good good game dont bother read anything get go blind come 6/6 vision,Recommended,101,60.9,11-11-2024
192,game another level bos fight undefeatable make consume hr time game good though,Not Recommended,95,39.8,11-11-2024
193,amazing game amazing story insanely fun gameplayin opinion mix god warstory dieties way world work elden ringnot quite hard harder boss god war,Recommended,168,87.3,11-11-2024
194,monki,Recommended,5,70.0,11-11-2024
195,story beautiful,Recommended,23,48.8,11-11-2024
196,10/10great story beautiful world unique character boss sure second play,Recommended,94,94.5,11-11-2024
197,chin que,Recommended,7,150.2,11-11-2024
198,great,Recommended,5,109.4,11-11-2024
199,many issue game consider good playable/acceptable goodproblems level design frustratingly bad worse ive ever see game many boss weird hit box story extremely shallow boring hdr run terribly constantly crash boss buggy mechanic get stick outside area invisible wall bos fight extremely annoy npcs even one hit,Not Recommended,377,13.3,11-11-2024
200,wait game since teaser trailer finally complete game side quest ready give opinion itunfortunately recommend gamebmw difficult bos rush game fantastic story minor rpg element many people already bring minor point game gong straight main point combat pretty much whole game go bos boss minor fight inbetween fight incredibly punish feel boss artificially difficult explain example encounter bos die multiple time learn boss move set able dodge move time attack however even realize bos still 2/3rds health leave battle perfectly5 timesit really become test endurance rather skill reflexes become even apparent utilize spell skill leave slog battle two incredibly repetitive move light heavy attack find fairly bore many battle despite still die repeatedly enemy last way long artificially inflate health bar never play dark soul compare bmw compare game feel like action adventure game play highest difficulty thats biggest problem game would hard put difficulty option simply reduce increase boss health level choosethe lack difficulty option bother much make think people give game never even try speed miss much side content deep lore game shin story reason push end sequel sort journey west love devs source material apparent beautifully craft world uniquely design enemy character important masterfully told story journal entry seriously play game read journal entry could sell book really want understand story must read journal entrieswith much love put story would think want people experience instead artificially difficult boss slightly boring combat block many people fully enjoy even able see first placei understand game mean difficult still baffle devs put much story many people see fully appreciate recommend black myth wukong difficulty option implement never happen im sure response review simply git gud,Not Recommended,2514,61.3,11-11-2024
201,gorgeous supremely fun play absolutely goty,Recommended,49,103.8,11-11-2024
202,good,Recommended,4,14.1,11-11-2024
203,goty material,Recommended,12,69.9,11-11-2024
204,10/10,Recommended,5,53.5,11-11-2024
205,reject humanity return monke,Recommended,27,18.0,11-11-2024
206,im even huge soul like type guy game rule great character design beautiful environment fun combat mechanic challenge yet fun boss also really like dont lose soul upon defeat 10/10,Recommended,192,36.3,11-11-2024
207,9/10 almost masterpiece thought let real dark soul copy fromsoft release one would bat eye say like darksouls series attack feel strong learn variety spell transformation make feel powerful random guy stab bos butt death difficulty perfect utter like darksouls easy like jedi survivor boss definitely need time cook though white dragon terrible hitbox deer annoy af last giant rock bos bore kill name really didnt copy everything fromsoft cryptic quest storyline super annoy like story want know half time feel like idea whats go even know roughly story journey west still confuse much stutter stutter cutscenes stutter traversal stutter even end credit wtf chapter 6 area definitely felt rush get cloud super iconic shouldve make bullethell shooter like nier automaton instead youre fly around large empty area boss scatter around,Recommended,1065,43.1,11-11-2024
208,someone grow watch 1996 journey west series tv say game really bring story life developer do impressive job capture heart classic tale balance nostalgia accessibility new playersyes tweak storyline theyre wellconsidered adjustment actually help flow game shorter runtime keep pace snappy without lose essence journey know love despite controversy western medium game shin merit offer fresh respectful take classic tale ask absolutely deserve game year title,Recommended,582,69.9,11-11-2024
209,invisible wallbut bos fight sick memorable ok difficulty dont worry lose anything die like soulsgame area chapter worth explore feel rush invisible wall kinda ruin exploration partreigniting spark respec shrine let try different kind build without worry finite item need since basically every time wishgraphic great suffer performance issue timetime even lower setting maybe thats optimisation problemweapon option well staff upgrade better one spear like lack variety compensate lil bit transformation youre kind build give whole new moveset way play stance arent really give thing since alter heavy attack chained attack light attack stay samea pretty solid game overall monke85/10,Recommended,864,54.5,11-11-2024
210,great game satisfy manage pull perfect dodge story might confuse find story monkey king first time combat excellent satisfying beat bos multiple try though love many many different skill skill tree many different build path available playstyle amazing music really set mood cant wait dlc embrace monke,Recommended,374,74.5,11-11-2024
211,great game,Recommended,9,362.6,11-11-2024
212,fan soul like game absolutely love game bos design incredible mention first game monkey love monkey incredible,Recommended,152,16.7,11-11-2024
213,could bust nut would,Recommended,24,34.2,11-11-2024
