,ReviewText,RecommendedOrNot,ReviewLength,PlayHours,DatePosted
17,"In my opinion, this is a true Game of the Year contender! It’s perfect for those who want to take on a challenge but feel hesitant about games like Dark Souls, Elden Ring is demanding, but not as brutally difficult as those titles. The game has an incredible atmosphere, with controls that are smooth and intuitive. Another strong point is the ability to create various builds to suit different playstyles. There’s truly something for everyone.It’s a must play for fans of Chinese culture, as it’s simply impossible to be disappointed by it. Even after finishing the game for the first time, there’s still a strong desire to dive back into NG+, where you can acquire additional items and skills. This feature keeps you motivated to replay, offering new challenges and fresh approaches to tackling bosses.",Recommended,670,42.3 hrs on record,Posted: November 14
18,"Phenomenal gaming experience from start to finish. Worth the hype and well worth full price. Easily lands in my Top Ten List of All Time. With ultra smooth combat and a diverse move/ability set. The combinations are endless and there is really no penalty for trying out every build available. Engaging story, each chapter has a theme that fits narratively and with the scenery and characters. I am not a person to replay games frequently but I am excited to play this one through again.",Recommended,402,178.7 hrs on record,Posted: November 14
19,i'm relatively casual gamer because i have a demanding job and two young kids. So i've been only been able to spend abouut 30 hours over the last couple of months. But let me tell you this game is the sh*t. So diverse and varied. You never get bored.,Recommended,202,35.7 hrs on record,Posted: November 14
20,Best game I've played in a long time.,Recommended,30,119.4 hrs on record,Posted: November 14
21,"This is the best game ever made, of all time.",Recommended,36,70.4 hrs on record,Posted: November 14
22,Game Science chose to collaborate with JD inc (a DEI/LGBTQ company) so here is a negative review for the game.,Not Recommended,91,104.1 hrs on record,Posted: November 14
23,"If you play it, you will get better at ping pong.",Recommended,39,39.4 hrs on record,Posted: November 14
24,Fun game,Recommended,7,22.8 hrs on record,Posted: November 14
25,"On the subject of the world.Beautiful game. On one hand, there are so many secrets and so much lore, on the other hand, invisible walls everywhere that kind of slap you in the face when you try to explore. It's inviting and closed up at the same time, not a fan of that.On the subject of combat.I like the instant respec, makes fighting entertaining. Large bosses/quick moving bosses/flying bosses' hit boxes and tracking not fantastic. At the same time not locking on was not feasible for me either. I would look for some improvements there.Huge discrepancies among boss difficulty - 90% pushovers into 10% impossible without learning the fights. Maybe slightly too many micro-cutscenes during major boss fights too.Side notes.Had to learn closing my eyes on loading screens - the game spoiled itself on new areas, or was showing me second phases of the bosses I was currently fighting which I haven't seen before - huge no no.What's with the boss talking during the fight, who came up with that, I can never hear or focus on what they are hearing, just play the music and let me enjoy the fight.Overall positive, great game with a couple of thorns in it, so not exactly 10/10 but close.",Recommended,982,64.1 hrs on record,Posted: November 14
26,pretty gooooood ng+5,Recommended,18,209.7 hrs on record,Posted: November 14
27,"Worth every penny, amazing game!",Recommended,28,92.8 hrs on record,Posted: November 14
28,"great to play with mouse and keyboard, and awesome sound design.",Recommended,54,53.3 hrs on record,Posted: November 14
29,"Without a Doubt should be GOTY! Runs smooth, Amazing Music, Amazing Story, Amazing Gameplay. Worth Every CentOne of the Best Secret Boss Final Battles I have ever experienced. Genuine 10/10",Recommended,160,57.1 hrs on record,Posted: November 14
30,GOTY.,Recommended,5,9.1 hrs on record,Posted: November 14
31,monke,Recommended,5,14.5 hrs on record,Posted: November 14
32,Omega goog game,Recommended,13,55.4 hrs on record,Posted: November 14
33,It's good,Recommended,8,33.9 hrs on record,Posted: November 14
34,Monke,Recommended,5,3.3 hrs on record,Posted: November 14
35,Great game!,Recommended,10,17.9 hrs on record,Posted: November 14
36,Just a work of art,Recommended,14,38.9 hrs on record,Posted: November 14
37,"In my TOP10 of all time, probably even TOP5It's challenging, but not to the point when you start losing hairPerfect example of why we love and play games",Recommended,126,50.1 hrs on record,Posted: November 14
38,Trash game just dodge dodge dodge dodge dodge dodge dodge dodge hit dodge dodge dodge dodge hit trash fighting experience do not recommend to buy this trash game. You can't enjoy the story because you repeat the same fight at least 7-8 time AT LEAST,Not Recommended,205,7.9 hrs on record,Posted: November 14
39,"Incredible graphics, sound design, voice acting and story telling. Although the play time for a full playthrough takes ~40-50 hours depending on skill level and whether you're going for the true ending, buying the game is money well spent.The 6 environments for the 6 chapters are stunning. Each visually different from each other, with multiple levels, whole secret areas which you may not stumble upon during first playthrough, but not too open world that you do not know what to do. The sound design is incredible, every piece suits the fight and the effect sounds for the weapons etc. are very satisfying. Combat flows well with a wide array of skills and weapon effects to choose from, with some transformations requiring a lot more skill than others. The camera does get a bit jittery when facing large bosses and locked-on, but this is a problem most Souls-likes face.It is more forgiving than Souls-likes which is most pronounced in the mid to late game when you can respec into any build depending on the boss encounter. However, there are still fights that are challenging, but also graphically stunning. You could argue the true ending route has the hardest boss in-game. The only flaw is that for certain boss encounters, you start off in the middle of a phase if you have managed to beat the previous ones - this reduces some of the continuity of the fight but makes it much more approachable for casual players as they do not have to fight phase 1 etc. again.The animation pieces after each chapter is the cherry on top for the game, ranging from animation to stop motion. You really get a sense that a lot of love was poured into the game which took nearly a decade to develop. Would highly recommend picking up this game. The deluxe edition is only there to support the creators given the curios/armour set/weapon given are quickly outscaled",Recommended,1536,54.3 hrs on record,Posted: November 14
40,SO GOOD,Recommended,6,15.2 hrs on record,Posted: November 14
41,the game is fun,Recommended,12,57.7 hrs on record,Posted: November 14
42,If you want to rage then get this game asap,Recommended,34,40.7 hrs on record,Posted: November 14
43,GOAT to me,Recommended,8,251.6 hrs on record,Posted: November 13
44,good,Recommended,4,29.0 hrs on record,Posted: November 13
45,GOTY 2024,Recommended,8,57.1 hrs on record,Posted: November 13
46,9 /10,Recommended,4,59.5 hrs on record,Posted: November 13
47,monkey :D,Recommended,8,49.6 hrs on record,Posted: November 13
48,"[GRAPHICS] :☑️ You forget what reality is🔳 Beautiful🔳 Stylistic🔳 Good🔳 Decent🔳 Bad🔳 You might go blind[GAMEPLAY] :☑️ Very good🔳 Good🔳 It‘s just gameplay🔳 Mehh🔳 Not even close[SOUNDTRACK] :☑️ Eargasm🔳 Very good🔳 Good🔳 Not too bad🔳 Bad🔳 I'm now deaf[DIFFICULTY] :🔳 Just press 'W'🔳 Easy🔳 Easy to learn / Hard to master🔳 Average (Depends on the difficulty set)☑️ Difficult🔳 Dark Souls[GRIND] :🔳 Nothing to grind🔳 Only if u care about leaderboards/ranks/achievements☑️ Isn't necessary to progress🔳 Average grind level🔳 Too much grind🔳 You‘ll need THE SUBSTANCE to make a second version of you for Grinding[STORY] :🔳 No Story🔳 Like Playing ""Candy Crush"" For The Story🔳 It's Alright☑️ Well Written🔳Epic Story🔳 It‘ll replace your life[GAMEPLAY TIME] :🔳Very short (0 - 5 h)🔳Short (5 - 15 h)🔳Average (15 - 25 h)☑️ Long (25 - 60 h)🔳 Very long (60+ h)🔳 To infinity and beyond[WORTH] :🔳 It’s free!🔳 Underpriced☑️ Worth the price🔳 If it's on sale🔳 Could Be Cheaper🔳 Overpriced🔳 You could also just burn your money[BUGS] :☑️Never heard of🔳Minor bugs🔳 Can get annoying🔳 ARK: Survival Evolved🔳 The game itself is a big terrarium for bugs[TARGET AUDIENCE]🔳Kids☑️Teens☑️ Adults[REQUIREMENTS] :🔳Check if you can run Microsoft Office🔳 Low🔳 Medium☑️ High end🔳 NASA computer[FINAL SCORE] :🔳1🔳2🔳3🔳4🔳5🔳6🔳7🔳8🔳9☑️10",Recommended,1091,34.0 hrs on record,Posted: November 13
49,\m/,Recommended,3,69.2 hrs on record,Posted: November 13
50,good game but very hard,Recommended,19,3.0 hrs on record,Posted: November 13
51,One of the best games I have ever played.,Recommended,33,76.2 hrs on record,Posted: November 13
52,great game,Recommended,9,5.0 hrs on record,Posted: November 13
53,The best game i played in 2024. 10/10,Recommended,30,67.6 hrs on record,Posted: November 13
54,awesome,Recommended,7,62.8 hrs on record,Posted: November 13
55,"I have to say, this video game features stunning visuals, fantastic gameplay, captivating storytelling, and a plot that keeps you on your toes. However, one drawback is that the game does experience occasional stuttering and unexpected drops in frame rate.",Recommended,217,19.3 hrs on record,Posted: November 13
56,"Con:- Because I never play Souls like so I really don't know how to navigate the characters without map. Many, many, many times I got lost or just skipped some important scene just because I don't know where I should go.Pros:- BEST WUKONG GAME EVER! I grew up watching Journey to the West so playing this game reminds me of the old times.- Story 10/10- Gameplay 10/10Final Verdict: 9/10",Recommended,318,43.5 hrs on record,Posted: November 13
57,"Very annoying take on the soulslike genre. The main technique bosses have against you is random bullet time, which gets very old in the first 30 minutes in to the game.The invisible walls break the freedom of movement and makes the game feel very narrow.Weapons and armor have next to zero variation.Graphics are beautiful with no regard on optimization.",Not Recommended,296,37.6 hrs on record,Posted: November 13
58,"I beat the game just so i didn't have to hear the argument ""get good"". The game isn't bad, however it isn't as good as described. some enemies feel unbalanced ( tentacle man ) for example and no real way to deal with ranged enemies except rush them. the lack of weapon diversity, there are a number of pole-arms that could have been added. I also wanted to see more options with armor and abilities. I found the story to be far too short for my liking. lastly the last boss fight is for lack of a better term bs and felt like i was being trolled, i enjoyed no part of it. overall great story but the gameplay felt ... incomplete and lacking.story: 8/10combat: 5/10level design: 5/10value: 4/10",Not Recommended,565,60.8 hrs on record,Posted: November 13
59,game requires me to use dlss. can't even run game at native resolution or the fps tanks on a 3080 ti. The industry is a joke. i cannot believe this game got so many positive reviews with the state that the game is in. Games should not require dlss to run .,Not Recommended,205,0.8 hrs on record,Posted: November 13
60,"Una obra maestra, la historia te atrapa, el gameplay jamas aburre, y lo mejor esta diseñado para rejugar una y otra vez, para mi es perfecto!!!",Recommended,118,66.2 hrs on record,Posted: November 13
61,Monkay Noises,Recommended,12,40.4 hrs on record,Posted: November 13
62,Forgive me Father of Stones...,Recommended,26,145.3 hrs on record,Posted: November 13
63,"Story, gameplay, music, graphics... just awesome! Didin't expect to see such a good game these days anymore. I love it. Truly a masterpiece!",Recommended,118,0.6 hrs on record,Posted: November 13
64,"When in doubt, go full monke. The bosses are very original and fun, and I went across genre to play this because it's usually not my type of game, but I think it's a good game.",Recommended,141,10.2 hrs on record,Posted: November 13
65,目前玩了四周目的，还开了其他的存档。美术画面顶级，极致的视觉体验，前几章的剧情满分，个人认为火焰山的剧情一般（可能是赶工），影身图小故事也很好，每章结尾的动画艺术成分很高。音乐也是顶级，最后的云宫迅音很震撼，可以让人听哭。战斗系统绝对是顶级的，三种棍法配合精魄、法宝、法术、变身可以有很多种套路玩法。唯一的缺点是没有地图，空气墙设计的不够统一。我给99分，接近满分的神作,Recommended,185,140.5 hrs on record,Posted: November 13
66,should be GOTY LIKE RIGHT NYOW,Recommended,25,5.7 hrs on record,Posted: November 13
67,"This game will entertain and annoy you at the same time. Do not play for the story. Most of the times you neither know nor care what the hell is going on in the background. But still, the amazing gameplay and unique boss fights will keep you engaged. So far I have managed to reach the third chapter, where I beat three bosses, and though the game gave me a good time, it annoyed the hell out of me as well.",Recommended,327,55.7 hrs on record,Posted: November 13
68,120hrs well spent. Going back to monke ᧖(• ᦢ •)ᦣ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣀⣤⣤⣤⣤⣄⠀⣰⣿⣿⣦⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⠟⠛⠉⠉⠙⣿⣷⣿⣟⣛⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡀⢹⣿⡀⠀⣠⡀⢰⣿⣿⠟⠉⠻⣿⣦⣤⣶⣶⣿⣿⣿⣿⣿⣿⣿⣷⣷⣶⣶⣦⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⣾⣿⢿⣾⣿⣷⡀⢇⢁⣿⡿⡡⢴⠀⠀⢘⣿⣿⢻⢟⡫⢇⠯⡜⣭⢫⡝⣫⢛⡻⠿⠿⣿⣿⣿⣷⣶⣄⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣿⡿⠀⠀⠀⣛⢿⢿⡸⢸⣿⠛⡀⢜⣀⣤⣼⣿⣿⣜⣜⣣⠟⡼⢣⡜⣣⢜⡣⢟⡸⣛⠧⡤⣄⢟⡿⣿⣿⣿⣧⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣧⠀⠀⠺⢤⡤⠴⡄⠠⠤⣀⠣⡘⠛⢿⣿⣏⠁⠈⠀⠉⠙⠛⠷⣼⡱⢎⡵⢋⣶⠿⠚⠉⠉⠛⠒⠳⢯⣟⣿⣿⣷⣦⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢿⣿⣤⣤⣾⣿⠃⣜⢀⠃⣴⣦⠑⠌⠀⠀⣹⣿⠃⠀⠀⠀⠀⠀⠀⠀⠙⢷⣼⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠈⠻⣽⢿⣿⣿⡄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠋⠹⣿⣇⠀⠀⠉⠀⣿⣿⣦⣀⣠⣶⡿⠋⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠳⣿⣿⣿⣦⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣿⣿⣷⣶⣶⣾⡿⠛⠛⠛⠛⠋⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢻⣿⣿⣿⣿⣶⣤⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣴⣿⡿⠟⣿⣿⡿⠀⠀⠀⠀⠀⠀⠀⠀⣠⣤⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣤⡀⠀⠀⠀⠀⠀⠀⣿⣿⠋⠉⠻⣿⣷⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⡿⠁⠀⣿⣿⡧⠀⠀⠀⠀⠀⠀⠀⠸⣿⣿⡇⠀⠀⠀⠀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⣿⠀⠀⠀⠀⠀⠀⣿⣿⡇⠀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢿⣿⡇⠀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠈⠁⠀⠀⠀⠀⢸⣿⡀⠀⠀⣰⣷⡄⠀⠀⣿⡦⠀⠀⠀⠈⠛⠁⠀⠀⠀⠀⠀⠀⣿⣿⠃⢀⣠⣿⣿⠇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠸⣿⣷⣄⠀⢹⣿⣇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠿⣿⡿⠟⠙⢿⣷⡿⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣿⣿⣿⣿⡿⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⠻⢿⣿⣿⣿⣿⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⣿⣿⠏⠁⠈⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠉⢹⣿⣿⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣿⣿⡿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠹⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣾⣿⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⣴⣶⣶⣶⣦⣄⡀⠀⠀⠀⠀⢀⣤⣦⣤⣤⣼⣿⣿⣷⣦⣤⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⣴⣾⣿⣟⡁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⣿⡟⣭⣿⣭⣟⣻⣿⣆⠀⠀⠠⣾⣿⣿⢛⠿⡟⠿⢿⠻⠿⢿⡻⠶⣶⣤⡄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣤⡤⣤⣤⣴⣾⣿⣿⣿⢿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣏⣾⣿⠉⠙⣿⣿⣹⣿⡄⠀⠀⠛⣿⣿⣾⣷⣿⣽⣮⣽⣙⢦⣙⢳⢲⡟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠻⣮⣱⢫⢟⠯⣝⠲⣜⠲⣦⣽⣿⣿⠇⠀⠀⠀⠀⠀⠀⠀⠸⣿⣇⣿⣿⠀⣾⣿⣯⣿⣿⠀⠀⠀⠀⠀⠉⠛⠿⠿⠿⣿⣿⣿⡓⢮⣹⠏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⣧⠳⡎⣷⣿⣿⣿⣿⣿⣿⠿⠋⠀⠀⠀⠀⠀⠀⠀⠀⠰⣿⣧⢻⣿⡆⠙⠿⠿⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⣿⢣⡝⢦⢿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⣿⣱⢹⣿⣿⡏⠉⠉⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢿⣿⡧⢿⣿⣆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⣿⣹⢎⠧⣻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⡧⢇⣻⣿⣧⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠻⣿⣷⡻⣿⣶⣤⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⣿⢜⣎⠳⣽⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣏⡳⢼⣿⣟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠻⣿⣶⣛⡿⢿⣿⣷⣶⣶⣶⣶⣶⣶⣾⣿⣿⣿⣿⡞⣬⠳⣜⣳⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⡧⡝⣾⣿⣿⣄⣠⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢻⣿⣿⣿⣾⣽⣯⣿⣿⣽⣯⣿⣽⣾⣿⣿⣿⣿⡏⣷⡎⣼⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⢳⡍⣿⣿⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠉⠛⠛⠿⠿⠿⠿⠿⠿⠿⠿⠛⠛⠉⠙⢿⣿⣷⣹⠲⡜⢷⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⣟⢦⣙⠦⢯⡱⢦⣹⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢿⣿⣷⡛⣜⣳⣿⣿⣶⣶⣶⣶⣤⣶⣶⣤⣤⣤⣤⣴⣾⣿⣿⣷⣮⣽⣥⣷⣿⣿⣿⠟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢿⣿⣿⣷⣼⣿⣿⠟⠉⠉⠉⠉⠙⠛⠉⠛⠛⠛⠛⠋⠉⠉⠙⠛⠛⠛⠛⠛⠛⠉⠀⠀⠀⠀,Recommended,1849,121.6 hrs on record,Posted: November 13
69,"Incredible from start to finish, the settings, the style, the music, so many encounters that are boss-like. Absolutely love this game. Wukong should definitely be in the Game of the Year running.Only negative, most of the invisible walls suck, feels like you should be able to explore certain areas but those walls say otherwise.",Recommended,276,82.3 hrs on record,Posted: November 13
70,John Cena,Recommended,8,35.4 hrs on record,Posted: November 13
71,game of the year,Recommended,13,43.3 hrs on record,Posted: November 13
72,Monke,Recommended,5,12.2 hrs on record,Posted: November 13
73,Game of the decade tbhCamera is sucks though,Recommended,37,45.7 hrs on record,Posted: November 13
74,game of the YEAR!!!!!!!,Recommended,20,52.5 hrs on record,Posted: November 13
75,Game of the year 2024!,Recommended,18,79.7 hrs on record,Posted: November 13
76,"1st time play this kind type of game (souls like).I'm not hardcore gamer, just play when free time after work just for fun.The game a bit hard for casual gamer like me, but after certain level im able to cope.Overall i like because the graphic is great, the game structure is nice and I enjoy the game,Wish the game DLC has longer story.",Recommended,275,51.9 hrs on record,Posted: November 13
77,"I was wary that this game would not live up to my expectations, yet it proved to be one of my favourite games of all time. Everything was perfect, the gameplay was fun, the story is told in amazing ways and the world is incredibly beautiful. It isn't too difficult nor is it too easy, if you're a souls fan who wants a change of pace, this is a must play in my books.",Recommended,294,44.6 hrs on record,Posted: November 13
78,I think the game is okay yeah the bosses are cool in stuff but the game seems more repetitive all you really kind of do is kill hostiles then kill bosses and repeat the same thing over and over again yeah the graphics are good but the game isn't really cool when its repetitive.,Recommended,225,22.0 hrs on record,Posted: November 13
79,"this game struggles with understanding what makes a challenging game fun. at several points in this game you are given a cool new ability just for the next boss to be a perfect counter to it. taking away the fun new stuff we are given right after getting it is not good design. the cool abilities are honestly all that kept me playing the game. the game has cool abilities and it looks great but every encounter in the game feels janky. The final boss is a perfect example of why the design of several bosses don't work, every single ability and attack you spent 40+ hours collecting get countered randomly by the boss. The entire encounter just feels like several rng checks in a row. he has a random chance to counter your heavy attack, imobilize, healing, duplicates, light attack, and if you think he's not countering enough don't worry because he will freeze you in time so that he gets a garenteed hit that you have no way of avoiding. i don't think there was a single boss that i fought that left me feeling satisfied with the accomplishment. i give it 4/10",Not Recommended,870,44.7 hrs on record,Posted: November 13
80,very pretty!,Recommended,11,31.4 hrs on record,Posted: November 13
81,cod,Recommended,3,13.2 hrs on record,Posted: November 13
82,gg,Recommended,2,8.8 hrs on record,Posted: November 13
83,good,Recommended,4,10.2 hrs on record,Posted: November 13
84,Exactly the type of game the industry needed. I'd recommend to anybody who can handle the challenge,Recommended,83,40.7 hrs on record,Posted: November 13
85,not doubt one of the best arpg/soul alike game i've played since elden ring,Recommended,62,132.8 hrs on record,Posted: November 13
86,GOTY 2024,Recommended,8,40.5 hrs on record,Posted: November 13
87,good game,Recommended,8,58.7 hrs on record,Posted: November 13
88,good,Recommended,4,16.1 hrs on record,Posted: November 13
89,"Absolutely gorgeous game, in game and in cut scenes. You'll find yourself just taking it all in sometimes. Love the game so far, its a perfect balance of challenge and reward (once you finally beat that boss that's been kicking your a** for the past hour). I have played many many fromsoft games/ souls like games and they are by far my favorites ever played, but this game is on track to being added to the list. I look forward to the release of DLC content for this game and the conclusion of my play-through(s).",Recommended,420,15.2 hrs on record,Posted: November 13
90,this is like god of war and dark souls in one game,Recommended,39,5.3 hrs on record,Posted: November 13
91,"The story is great, the combat is fun, and the music and graphics are fantastic!As a player, this is one of the best games I played.As a Chinese player, this is THE best game I ever played.",Recommended,153,100.9 hrs on record,Posted: November 13
92,Good game,Recommended,8,80.5 hrs on record,Posted: November 13
93,"10/10 game, nothing more need to be said",Recommended,33,71.1 hrs on record,Posted: November 13
94,great game,Recommended,9,32.8 hrs on record,Posted: November 13
